index,Patch_Name,Result,Label,Consistency
0,97_PFL_Kali-A_Patch_1_1,Incorrect,Incorrect,C
1,113_PFL_DynaMoth_Patch_1_1,Incorrect,Correct,I
2,240_PFL_ACS_Patch_21_1,N/A,Correct,N/A
3,248_NFL_kPAR_Patch_452_264,N/A,Incorrect,N/A
4,199_NFL_kPAR_Patch_16_16,N/A,Correct,N/A
5,56_NFL_AVATAR_Patch_1243_193,N/A,Incorrect,N/A
6,219_NFL_kPAR_Patch_19_8,N/A,Incorrect,N/A
7,26_PFL_AVATAR_Patch_412_146,N/A,Incorrect,N/A
8,293_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
9,36_PFL_AVATAR_Patch_15_2,N/A,Incorrect,N/A
10,123_PFL_DynaMoth_Patch_1_1,Correct,Correct,C
11,299_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
12,61_PFL_AVATAR_Patch_1_1,N/A,Correct,N/A
13,288_PFL_TBar_Patch_4_4,N/A,Incorrect,N/A
14,309_PFL_TBar_Patch_2_1,N/A,Correct,N/A
15,187_PFL_kPAR_Patch_1_1,N/A,Correct,N/A
16,230_NFL_kPAR_Patch_26_20,N/A,Incorrect,N/A
17,273_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
18,50_NFL_AVATAR_Patch_8_7,N/A,Incorrect,N/A
19,211_NFL_kPAR_Patch_93_43,N/A,Incorrect,N/A
20,211_PFL_Nopol_Patch_1_1,Correct,Correct,C
21,316_PFL_TBar_Patch_5_5,N/A,Correct,N/A
22,206_PFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
23,59_PFL_AVATAR_Patch_40_11,N/A,Correct,N/A
24,77_NFL_AVATAR_Patch_221_71,N/A,Correct,N/A
25,237_PFL_ACS_Patch_5_5,N/A,Incorrect,N/A
26,134_PFL_kPAR_Patch_16_16,N/A,Correct,N/A
27,57_PFL_AVATAR_Patch_117_64,N/A,Incorrect,N/A
28,90_PFL_Kali-A_Patch_1_1,Correct,Incorrect,I
29,143_PFL_kPAR_Patch_14_3,N/A,Incorrect,N/A
30,26_NFL_AVATAR_Patch_447_97,N/A,Incorrect,N/A
31,207_PFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
32,164_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
33,167_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
34,280_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
35,277_NFL_Nopol_Patch_1_1,Incorrect,Incorrect,C
36,144_PFL_kPAR_Patch_1_1,N/A,Incorrect,N/A
37,156_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
38,207_NFL_kPAR_Patch_646_317,N/A,Incorrect,N/A
39,247_NFL_kPAR_Patch_405_243,N/A,Incorrect,N/A
40,158_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
41,237_NFL_kPAR_Patch_4341_2826,N/A,Incorrect,N/A
42,257_NFL_kPAR_Patch_269_135,N/A,Incorrect,N/A
43,160_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
44,179_PFL_kPAR_Patch_2_1,N/A,Incorrect,N/A
45,210_NFL_kPAR_Patch_41_6,N/A,Incorrect,N/A
46,176_PFL_kPAR_Patch_3_3,N/A,Correct,N/A
47,68_PFL_AVATAR_Patch_115,N/A,Correct,N/A
48,12_PFL_AVATAR_Patch_109,N/A,Incorrect,N/A
49,131_NFL_Kali-A_Patch_27_27,Correct,Incorrect,I
50,318_NFL_ACS_Patch_11_1,N/A,Incorrect,N/A
51,143_NFL_Kali-A_Patch_2_2,Correct,Correct,C
52,287_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
53,182_PFL_kPAR_Patch_1_1,N/A,Correct,N/A
54,49_PFL_AVATAR_Patch_29,N/A,Incorrect,N/A
55,155_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
