index,Patch_Name,Result,Label,Consistency
0,Patch165,Correct,Incorrect,I
1,Patch2,Incorrect,Incorrect,C
2,Patch166,Correct,Incorrect,I
3,Lang_bug55,Correct,Correct,C
4,Time_bug7,Incorrect,Correct,I
5,Patch207,Correct,Correct,C
6,Lang_bug46,Incorrect,Correct,I
7,Math_bug85,Incorrect,Correct,I
8,Patch195,Correct,Correct,C
9,Patch10,Correct,Incorrect,I
10,Patch1,Incorrect,Incorrect,C
11,Chart_bug13,Correct,Correct,C
12,Patch162,Correct,Incorrect,I
13,Chart_bug26,Correct,Correct,C
14,Patch54,Correct,Incorrect,I
15,Math_bug80,Correct,Correct,C
16,Patch78,Correct,Incorrect,I
17,Patch152,Correct,Incorrect,I
18,Chart_bug3,Incorrect,Correct,I
19,Math_bug70,Correct,Correct,C
20,Math_bug3,Correct,Correct,C
21,Chart_bug7,Correct,Correct,C
22,Patch77,Correct,Incorrect,I
23,Patch198,Incorrect,Incorrect,C
24,Patch82,Correct,Incorrect,I
25,Patch37,Correct,Incorrect,I
26,Patch151,Incorrect,Incorrect,C
27,Patch64,Correct,Incorrect,I
28,Chart_bug17,Correct,Correct,C
29,Math_bug93,Correct,Correct,C
30,Patch202,Correct,Incorrect,I
31,Math_bug28,Correct,Correct,C
32,Patch63,Correct,Incorrect,I
33,Patch8,Incorrect,Incorrect,C
34,Patch194,Correct,Correct,C
35,Patch154,Incorrect,Incorrect,C
36,Patch23,Incorrect,Incorrect,C
37,Patch204,Incorrect,Correct,I
38,Patch180,Correct,Incorrect,I
39,Chart_bug9,Correct,Correct,C
40,Lang_bug44,Correct,Correct,C
41,Patch205,Correct,Correct,C
42,Math_bug97,Correct,Correct,C
43,Patch208,Correct,Incorrect,I
44,Math_bug49,Correct,Correct,C
45,Patch90,Correct,Incorrect,I
46,Time_bug16,Correct,Correct,C
47,Math_bug25,Correct,Correct,C
48,Patch17,Incorrect,Incorrect,C
49,Math_bug8,Correct,Correct,C
50,Math_bug90,Correct,Correct,C
51,Patch192,N/A,Incorrect,N/A
52,Patch201,Correct,Incorrect,I
